Study Area,Rating,Median/Rental Parity,% Rental Parity,Historic Premium,% Historic Prem
"Los Angeles, CA",6,"$ 906,600 $ 640,100",41.6%,23.3%,18.3%
Arcadia,1,"$ 1,331,200 $ 803,000",65.8%,5.4%,60.4%
Baldwin Park,1,"$ 656,600 $ 412,400",59.3%,-11.4%,70.7%
Bellflower,2,"$ 737,500 $ 544,100",35.5%,-9.7%,45.2%
Carson,1,"$ 760,600 $ 510,300",49.1%,-12.6%,61.7%
Compton,3,"$ 587,600 $ 504,300",16.6%,-19.9%,36.5%
Diamond Bar,1,"$ 937,800 $ 595,300",57.6%,2.7%,54.9%
East Los Angeles,1,"$ 638,400 $ 470,500",35.7%,-9.4%,45.1%
Florence-Graham,4,"$ 546,400 $ 524,200",4.2%,-21.2%,25.4%
Glendale,1,"$ 1,128,100 $ 689,600",63.6%,1.3%,62.3%
Hacienda Heights,1,"$ 891,200 $ 571,300",56.0%,6.0%,50.0%
Huntington Park,1,"$ 625,900 $ 322,800",93.9%,-13.5%,107.4%
La Mirada,1,"$ 828,600 $ 457,200",81.2%,-3.7%,84.9%
